campaign,channel,impressions,clicks,conversions,spend,start_date,active
black_friday_2024,facebook,45230,1280,142,3200,2024-11-15,true
holiday_email,email,28000,920,108,800,2024-12-01,true
brand_awareness_q1,instagram,67400,2150,98,4500,2025-01-10,false
retargeting_jan,google,18900,1820,167,2100,2025-01-20,true
spring_sale,facebook,52100,1480,189,3800,2025-03-05,true
podcast_sponsor_a,podcast,12000,340,42,1500,2025-03-15,false
youtube_preroll,youtube,89500,2240,103,5200,2025-03-22,true
linkedin_b2b,linkedin,8400,310,38,2400,2025-04-01,true
tiktok_demo,tiktok,124000,3850,201,2900,2025-04-10,true
google_search_evergreen,google,34500,4120,412,3600,2024-09-01,true
email_winback,email,15600,720,89,400,2025-02-08,false
instagram_influencer_a,instagram,28000,890,67,2200,2025-02-20,false
google_display_remarket,google,72000,1180,78,1900,2025-03-28,true
facebook_lookalike,facebook,41200,1340,143,2700,2025-04-15,true
spotify_audio,podcast,22000,540,51,1800,2025-04-18,false
twitter_promoted,twitter,18500,420,29,1100,2025-04-25,false
referral_partner_a,partner,9200,820,118,500,2025-05-01,true
holiday_giftguide,email,31000,1080,127,600,2024-12-15,false
brand_search,google,28000,3600,389,1800,2024-08-15,true
new_product_launch,instagram,95000,2810,178,4800,2025-05-10,true
